orifice_size,aspect_ratio,width_ratio,normalized_orifice_length,normalized_oil_input_width,normalized_water_input_width,capillary_number,flow_rate_ratio,droplet_size,generation_rate
123.7859289,1.550223072,3.297122013,4.945611172,2.389437879,2.4006528,0.058880186,11.44777816,466.4055378,61.90929077
282.2255851,1.948607728,3.17780803,4.274304018,3.790924749,3.058044909,0.15934938,19.51356754,193.7873895,100.9627247
149.8611559,1.282374369,2.939358925,4.305683346,3.347141009,2.98784998,0.145771974,13.57658177,109.7031049,138.314949
235.1125759,1.054480652,2.843974889,2.846312308,3.106143404,3.698940896,0.179479298,17.81960987,74.72503348,119.7334726
289.1913581,2.513645316,2.354072261,2.190422636,3.117416448,3.862865278,0.043207806,6.135203696,1752.106729,15.07061111
227.1464957,1.923228842,2.703523673,7.935850783,2.928642377,2.189040906,0.064084698,5.522139591,1979.641214,32.73042953
186.4808323,2.870484782,3.756551795,3.664631046,3.231868706,2.001303737,0.199643953,8.15576429,280.2512482,126.7607349
296.2880351,1.625064187,2.547438305,7.316348743,2.044032597,2.093450708,0.189435417,9.884741681,490.8300297,81.55410944
51.25121674,2.992173526,2.255076387,7.127256338,2.266617735,2.206954962,0.145278512,11.8291728,139.6477751,406.4477622
130.7042903,2.528283857,3.545935105,1.978075735,2.833067757,3.687164382,0.043276723,11.18738569,623.0773126,42.64605948
195.3767211,1.945948122,3.545849531,3.11679648,2.547815754,2.131599943,0.171357061,16.61151239,123.4978294,131.1183394
132.5932131,1.112686333,3.628227195,5.63588753,3.932213893,3.641907846,0.084623644,18.83741601,175.2788876,117.3952727
169.768672,2.210806093,2.036649157,4.808094591,3.951129639,3.560358747,0.210194051,2.517404885,625.8877025,118.144189
126.8690158,1.292817829,3.968923553,4.710565858,2.277888045,3.228857449,0.085075901,17.48371819,292.2233125,110.5209737
199.1687993,2.224848692,2.518125827,6.80470225,3.984153495,2.956263253,0.192175348,5.770334146,508.062036,117.0331848
51.99529565,2.665537638,3.326208312,3.256449062,3.634009923,2.96016304,0.045229579,2.01295241,1343.123901,77.65977764
135.892032,2.957397799,3.93886692,8.593215002,2.167151067,3.396281218,0.142299026,10.21350889,1466.791151,163.702801
140.9352423,2.511520197,2.219774048,4.387004343,2.67906173,2.40171606,0.185158513,16.04414005,104.0188214,198.6653193
186.6916778,1.373357264,2.414185803,5.764220789,2.829020138,2.840105714,0.1130802,6.181066854,512.4697597,64.81642791
203.8564431,1.279874137,2.765401052,4.199942955,3.309456947,3.85016325,0.103042453,12.71366206,269.109344,71.06469656
54.27088407,1.256137677,3.661630019,5.045866251,2.989642634,3.533475657,0.194687376,7.004056001,109.1716205,421.3459846
235.73303,1.861173138,3.022445787,6.848342249,2.24933702,3.196226857,0.203341134,9.495723452,668.3146125,115.0404887
206.1671024,2.32806467,2.765436813,2.901248486,2.86723704,2.737937976,0.087085882,16.04108757,263.2337161,62.60246431
195.2604635,2.806242364,2.792934491,5.112634935,3.926155686,2.355111353,0.166492238,6.021077239,468.1885234,98.117107
264.095616,2.962716695,3.780391547,6.191581569,3.266674911,3.637763483,0.093000154,4.219366938,5197.413602,42.36048636
278.4869903,2.987968696,2.010530482,6.206173588,2.932187382,3.083327474,0.063455876,17.29084444,995.0741028,39.31831343
90.8091147,2.336423426,3.296874413,7.671732931,3.362415726,2.042132791,0.155214665,8.273458623,253.7988169,230.6025779
139.1936002,1.997773575,3.276867487,3.566992166,3.658321246,3.767262542,0.030582133,5.443837287,2010.470527,23.85060601
102.97961,1.695084633,2.815617518,7.540426792,2.188495121,2.613496606,0.138585691,3.527734323,905.2620435,137.1385497
63.05509956,2.310365246,2.841681609,3.126631979,2.78271807,2.438020874,0.120534538,12.15123478,77.42644724,245.1657029
240.5934727,1.867369429,2.430855784,6.538402432,3.019767723,2.05505278,0.219712004,12.69348772,174.2447156,130.6113527
175.3184473,1.327587907,3.779832339,3.62211961,3.444737394,2.105034607,0.190733209,9.451421382,108.020431,129.0862136
61.95198059,2.030017963,3.273727828,6.355727992,2.269309545,3.124898891,0.150109391,2.460845749,975.4677665,236.4181001
287.552923,2.736425053,2.653935233,7.318247087,2.341835447,3.669739002,0.18178773,18.67983374,705.2449122,118.2193502
252.5056921,1.417754211,3.785741525,1.620468858,2.814616512,3.657410431,0.130102204,14.73800155,148.8315428,72.22182301
85.41242861,2.488305144,2.415868437,7.452418808,2.052267076,3.647757262,0.079812215,5.321523031,1601.334226,109.2265574
243.6060005,1.373507092,2.560403299,8.171208999,3.018422532,3.983809064,0.146784902,14.27567212,440.9142275,100.574776
253.8891155,1.706373663,3.438096926,5.373996256,3.480797748,2.875368604,0.111729649,15.40519388,384.1606097,71.02734083
145.5833848,1.310888941,3.591253632,2.341793905,3.42753208,3.745555716,0.080791386,8.417906304,257.8921064,63.36113464
132.5957751,1.391969911,2.960896378,5.550872174,3.722928008,3.928806069,0.173281119,4.142085393,446.0151701,141.7759021
295.2370683,2.710070474,2.827869272,3.42114621,2.637119988,2.436785267,0.215844118,8.326482633,397.9861906,81.73365472
72.45018655,1.963909825,2.51763862,3.533555955,3.777796504,2.126593265,0.162599664,11.64606255,37.62820726,286.8833835
