chip_number,orifice_size,aspect_ratio,expansion_ratio,normalized_orifice_length,normalized_water_inlet,normalized_oil_inlet,flow_rate_ratio,capillary_number,regime,generation_rate,droplet_size
1,75.00,1.00,2.00,1.00,2.00,2.00,10.00,0.07,1.00,28.57,66.19
2,75.00,1.00,2.00,1.00,2.00,2.00,10.00,0.13,1.00,135.75,49.61
3,75.00,1.00,2.00,1.00,2.00,2.00,10.00,0.26,1.00,327.61,46.59
4,75.00,1.00,2.00,1.00,2.00,2.00,10.00,0.53,2.00,312.46,59.64
5,75.00,1.00,2.00,1.00,2.00,2.00,10.00,1.06,2.00,532.97,62.89
6,75.00,1.00,2.00,1.00,2.00,2.00,13.00,0.07,1.00,21.05,67.15
7,75.00,1.00,2.00,1.00,2.00,2.00,13.00,0.13,1.00,149.60,44.00
8,75.00,1.00,2.00,1.00,2.00,2.00,13.00,0.26,1.00,348.12,41.84
9,75.00,1.00,2.00,1.00,2.00,2.00,13.00,0.53,2.00,363.39,51.96
10,75.00,1.00,2.00,1.00,2.00,2.00,13.00,1.06,2.00,538.04,57.44
11,75.00,1.00,2.00,1.00,2.00,2.00,16.00,0.07,1.00,24.95,59.21
12,75.00,1.00,2.00,1.00,2.00,2.00,16.00,0.13,1.00,220.13,36.10
13,75.00,1.00,2.00,1.00,2.00,2.00,16.00,0.26,1.00,353.06,38.86
14,75.00,1.00,2.00,1.00,2.00,2.00,16.00,0.53,2.00,359.25,48.67
15,75.00,1.00,2.00,1.00,2.00,2.00,16.00,1.06,2.00,646.28,50.42
16,75.00,1.00,2.00,1.00,2.00,2.00,19.00,0.07,1.00,28.55,53.45
17,75.00,1.00,2.00,1.00,2.00,2.00,19.00,0.13,1.00,221.77,34.01
18,75.00,1.00,2.00,1.00,2.00,2.00,19.00,0.26,1.00,377.10,35.90
19,75.00,1.00,2.00,1.00,2.00,2.00,19.00,0.53,2.00,396.23,44.49
20,75.00,1.00,2.00,1.00,2.00,2.00,19.00,1.06,2.00,818.75,44.01
21,75.00,1.00,2.00,1.00,2.00,2.00,22.00,0.07,1.00,46.40,43.30
22,75.00,1.00,2.00,1.00,2.00,2.00,22.00,0.13,1.00,295.26,29.44
23,75.00,1.00,2.00,1.00,2.00,2.00,22.00,0.26,1.00,475.45,31.64
24,75.00,1.00,2.00,1.00,2.00,2.00,22.00,0.53,2.00,497.65,39.27
25,75.00,1.00,2.00,1.00,2.00,2.00,22.00,1.06,2.00,697.52,44.21
26,75.00,1.50,3.00,1.50,2.50,2.50,10.00,0.07,1.00,45.76,63.38
27,75.00,1.50,3.00,1.50,2.50,2.50,10.00,0.13,1.00,115.77,58.60
28,75.00,1.50,3.00,1.50,2.50,2.50,10.00,0.26,2.00,123.99,72.17
29,75.00,1.50,3.00,1.50,2.50,2.50,10.00,0.53,2.00,205.96,76.78
30,75.00,1.50,3.00,1.50,2.50,2.50,10.00,1.06,2.00,445.04,74.82
31,75.00,1.50,3.00,1.50,2.50,2.50,13.00,0.07,1.00,46.40,57.80
32,75.00,1.50,3.00,1.50,2.50,2.50,13.00,0.13,1.00,123.91,52.49
33,75.00,1.50,3.00,1.50,2.50,2.50,13.00,0.26,2.00,126.76,65.64
34,75.00,1.50,3.00,1.50,2.50,2.50,13.00,0.53,2.00,243.13,66.56
35,75.00,1.50,3.00,1.50,2.50,2.50,13.00,1.06,2.00,444.15,68.60
