chip_number,orifice_size,aspect_ratio,expansion_ratio,normalized_orifice_length,normalized_water_inlet,normalized_oil_inlet,flow_rate_ratio,capillary_number,regime,generation_rate,droplet_size
606,175,3,5,2,2.5,2,13,0.045,1,9.3827160494,207.0441371319
607,175,3,5,2,2.5,2,13,0.09,1,28.5024154589,180.1172211557
608,175,3,5,2,2.5,2,13,0.18,2,20.1207243461,254.8656196981
609,175,3,5,2,2.5,2,13,0.36,2,37.7483443709,260.3573371692
610,175,3,5,2,2.5,2,13,0.72,2,75.9388038943,259.8510872719
611,175,3,5,2,2.5,2,16,0.045,1,9.9868593955,189.2215546238
612,175,3,5,2,2.5,2,16,0.09,1,36.8574199806,154.2701634139
613,175,3,5,2,2.5,2,16,0.18,2,19.9004975124,238.6962542742
614,175,3,5,2,2.5,2,16,0.36,2,46.875,226.0284742974
615,175,3,5,2,2.5,2,16,0.72,2,68.8118811881,250.5719399807
616,175,3,5,2,2.5,2,19,0.045,1,23.5294117647,134.2863971488
617,175,3,5,2,2.5,2,19,0.09,1,43.2220039293,138.147833261
618,175,3,5,2,2.5,2,19,0.18,2,31.1890838207,194.0535103132
619,175,3,5,2,2.5,2,19,0.36,2,46.6115702479,213.8459993214
620,175,3,5,2,2.5,2,19,0.72,2,77.1881461061,227.732756449
621,175,3,5,2,2.5,2,22,0.045,1,6.6073697586,195.2854176952
622,175,3,5,2,2.5,2,22,0.09,1,39.7286821705,135.3073216547
623,175,3,5,2,2.5,2,22,0.18,2,29.8507462687,187.520010295
624,175,3,5,2,2.5,2,22,0.36,2,41.3793103448,211.8921812438
625,175,3,5,2,2.5,2,22,0.72,2,79.7222222222,214.5488614955
626,75,1,2,1,2,2,10,0.0225,1,11.2092391304,71.7623411059
627,75,1,2,1,2,2,13,0.0225,1,10.6852103121,66.8107736374
628,75,1,2,1,2,2,16,0.0225,1,11.3402061856,61.1188252945
629,75,1,2,1,2,2,19,0.0225,1,10.8695652174,58.5373941046
630,75,1,2,1,2,2,22,0.0225,1,13.4297520661,51.9507415467
631,75,1.5,3,1.5,2.5,2.5,10,0.0225,1,6.6756574511,95.5604399015
632,75,1.5,3,1.5,2.5,2.5,13,0.0225,1,7.6871207013,83.5360246384
633,75,1.5,3,1.5,2.5,2.5,16,0.0225,1,11.5151515152,68.126008078
634,75,1.5,3,1.5,2.5,2.5,19,0.0225,1,8.7695445275,70.4475577895
635,75,1.5,3,1.5,2.5,2.5,22,0.0225,1,8.5481682497,67.66190806
636,75,2,4,2,3,3,10,0.0225,1,3.9298245614,123.8003171226
637,75,2,4,2,3,3,13,0.0225,1,5.340829234,102.4068002346
638,75,2,4,2,3,3,16,0.0225,1,6.6024759285,89.0370047438
639,75,2,4,2,3,3,19,0.0225,1,9.3150684932,74.9663317012
640,75,2,4,2,3,3,22,0.0225,1,9.1730368311,71.7575394916
641,75,2.5,5,2.5,3.5,3.5,10,0.0225,1,7.0422535211,108.7679087039
642,75,2.5,5,2.5,3.5,3.5,13,0.0225,1,6.8166325835,100.747338994
643,75,2.5,5,2.5,3.5,3.5,16,0.0225,1,4.5806906272,107.329971893
644,75,2.5,5,2.5,3.5,3.5,19,0.0225,1,3.5842293907,109.990420998
645,75,2.5,5,2.5,3.5,3.5,22,0.0225,1,3.7389530931,103.2794138266
646,75,3,6,3,4,4,10,0.0225,1,8.1855388813,109.1769705893
647,75,3,6,3,4,4,13,0.0225,1,6.9815195072,105.482973065
648,75,3,6,3,4,4,16,0.0225,1,5.0916496945,109.3504643645
649,75,3,6,3,4,4,19,0.0225,1,6.5843621399,94.7816710726
650,75,3,6,3,4,4,22,0.0225,1,9.8025867937,79.0482644156
651,100,1,3,2,3.5,4,10,0.0225,1,10.5405405405,88.126913285
652,100,1,3,2,3.5,4,13,0.0225,1,9.1412742382,84.6732357463
653,100,1,3,2,3.5,4,16,0.0225,1,12.4072825354,71.3614996879
654,100,1,3,2,3.5,4,19,0.0225,1,18.762746431,58.7101040102
655,100,1,3,2,3.5,4,22,0.0225,1,22.834116857,52.3673446661
656,100,1.5,4,2.5,4,2,10,0.0225,1,0.8253094911,188.4499133259
657,100,1.5,4,2.5,4,2,13,0.0225,1,0.7231404959,180.4455640838
658,100,1.5,4,2.5,4,2,16,0.0225,1,1.0943912449,146.6574144982
659,100,1.5,4,2.5,4,2,19,0.0225,1,1.0818120352,139.0271922616
660,100,1.5,4,2.5,4,2,22,0.0225,1,1.1133603239,131.1340320033
661,100,2,5,3,2,2.5,10,0.0225,1,28.5520054385,84.5550122026
662,100,2,5,3,2,2.5,13,0.0225,1,20.8754208754,85.9987287791
663,100,2,5,3,2,2.5,16,0.0225,1,28.8784419073,72.0200882081
664,100,2,5,3,2,2.5,19,0.0225,1,30.6330837304,66.6863257386
665,100,2,5,3,2,2.5,22,0.0225,1,37.8940308518,59.1589423066
666,100,2.5,6,1,2.5,3,10,0.0225,1,3.9295392954,171.6808454956
667,100,2.5,6,1,2.5,3,13,0.0225,1,2.7181688126,177.8671704629
668,100,2.5,6,1,2.5,3,16,0.0225,1,3.5886818496,151.2925032007
669,100,2.5,6,1,2.5,3,19,0.0225,1,6.1266167461,119.5393666781
670,100,2.5,6,1,2.5,3,22,0.0225,1,2.8905712319,146.2290313539
671,100,3,2,1.5,3,3.5,10,0.0225,1,8.6603518268,137.5819058932
672,100,3,2,1.5,3,3.5,13,0.0225,1,3.3946251768,172.2508762243
673,100,3,2,1.5,3,3.5,16,0.0225,1,5.9539918809,133.2796242349
674,100,3,2,1.5,3,3.5,19,0.0225,1,14.295347269,93.9918929701
675,100,3,2,1.5,3,3.5,22,0.0225,1,13.3788395904,91.5080829904
676,125,1,4,3,2.5,3.5,10,0.0225,1,11.8050789293,106.0905922697
677,125,1,4,3,2.5,3.5,13,0.0225,1,6.3143445436,119.7501215831
