orifice_size,aspect_ratio,expansion_ratio,normalized_orifice_length,normalized_water_inlet,normalized_oil_inlet,capillary_number,flow_rate_ratio,droplet_size,generation_rate
75,1,2,1,2,2,0.045,10,26.5300885022,152.4513096038
75,1,2,1,2,2,0.09,10,48.9010885111,55.4442217769
75,1,2,1,2,2,0.18,10,47.8415963394,85.2348993289
75,1,2,1,2,2,0.36,10,40.2146098299,355.5555555556
75,1,2,1,2,2,0.72,10,58.2704354339,532.9744279946
75,1,2,1,2,2,0.045,13,53.9494092234,287.230458221
75,1,2,1,2,2,0.09,13,42.5860741156,255.0403225806
75,1,2,1,2,2,0.18,13,32.1577960081,262.2565480188
75,1,2,1,2,2,0.36,13,32.9898718788,463.3982538617
75,1,2,1,2,2,0.72,13,38.4464607845,538.0361930295
75,1,2,1,2,2,0.045,16,49.3111564991,190.0406504065
75,1,2,1,2,2,0.09,16,40.6921037223,236.045729657
75,1,2,1,2,2,0.18,16,36.2748015661,245.1440053583
75,1,2,1,2,2,0.36,16,36.6401217627,445.2652787105
75,1,2,1,2,2,0.72,16,49.364841045,646.2801608579
75,1,2,1,2,2,0.045,19,64.0479855985,315.3923541247
75,1,2,1,2,2,0.09,19,50.173851936,241.8809201624
75,1,2,1,2,2,0.18,19,25.0843236843,293.4563758389
75,1,2,1,2,2,0.36,19,31.1780413813,419.624916276
75,1,2,1,2,2,0.72,19,34.8520563163,818.7458081824
75,1,2,1,2,2,0.045,22,61.673743097,309.7789685198
75,1,2,1,2,2,0.09,22,50.4012830955,256.4102564103
75,1,2,1,2,2,0.18,22,27.7071681576,264.745308311
75,1,2,1,2,2,0.36,22,36.1282575195,423.1027535259
75,1,2,1,2,2,0.72,22,41.9707666967,697.5184439973
75,1.5,3,1.5,2.5,2.5,0.045,10,47.6828194029,131.169709263
75,1.5,3,1.5,2.5,2.5,0.09,10,33.6969863675,102.081934184
75,1.5,3,1.5,2.5,2.5,0.18,10,51.32939892,136.546184739
75,1.5,3,1.5,2.5,2.5,0.36,10,58.5284493792,260.7382550336
75,1.5,3,1.5,2.5,2.5,0.72,10,76.4093040384,368.8799463447
75,1.5,3,1.5,2.5,2.5,0.045,13,54.373915898,119.2230408573
75,1.5,3,1.5,2.5,2.5,0.09,13,43.2873598183,93.101138647
75,1.5,3,1.5,2.5,2.5,0.18,13,50.4471505018,132.7967806841
75,1.5,3,1.5,2.5,2.5,0.36,13,49.8989915767,303.0100334448
75,1.5,3,1.5,2.5,2.5,0.72,13,58.9349742993,551.273458445
75,1.5,3,1.5,2.5,2.5,0.045,16,56.2082992343,126.5907568654
75,1.5,3,1.5,2.5,2.5,0.09,16,45.2820103195,89.2617449664
75,1.5,3,1.5,2.5,2.5,0.18,16,53.9396538741,134.8088531187
75,1.5,3,1.5,2.5,2.5,0.36,16,53.1083180928,249.3297587131
75,1.5,3,1.5,2.5,2.5,0.72,16,49.7429927146,507.7077747989
75,1.5,3,1.5,2.5,2.5,0.045,19,48.4619596767,157.0469798658
75,1.5,3,1.5,2.5,2.5,0.09,19,36.0213518367,97.1849865952
75,1.5,3,1.5,2.5,2.5,0.18,19,43.0586164227,159.3038821954
75,1.5,3,1.5,2.5,2.5,0.36,19,43.4408978705,321.8582887701
75,1.5,3,1.5,2.5,2.5,0.72,19,43.992631265,543.114973262
75,1.5,3,1.5,2.5,2.5,0.045,22,25.3098503976,258.658008658
75,1.5,3,1.5,2.5,2.5,0.09,22,41.3941704989,85.4068594486
75,1.5,3,1.5,2.5,2.5,0.18,22,50.5846442187,168.7876758205
75,1.5,3,1.5,2.5,2.5,0.36,22,30.9976926403,461.5384615385
75,1.5,3,1.5,2.5,2.5,0.72,22,48.9364326625,597.1849865952
75,2,4,2,3,3,0.045,10,93.9707164937,33.8524035207
75,2,4,2,3,3,0.09,10,64.2266223347,119.7041022192
75,2,4,2,3,3,0.18,10,81.3075184776,70.4697986577
75,2,4,2,3,3,0.36,10,75.7502039828,140.4569892473
75,2,4,2,3,3,0.72,10,85.2532587171,225.2010723861
75,2,4,2,3,3,0.045,13,67.9688847309,65.9932659933
75,2,4,2,3,3,0.09,13,76.9133221311,45.0874831763
75,2,4,2,3,3,0.18,13,72.6205248656,77.9046339825
75,2,4,2,3,3,0.36,13,66.7620665172,134.5895020188
75,2,4,2,3,3,0.72,13,72.4519176823,232.7759197324
75,2,4,2,3,3,0.045,16,57.8161472845,67.1965317919
75,2,4,2,3,3,0.09,16,76.2267442244,45.4241816967
75,2,4,2,3,3,0.18,16,86.0309302488,64.1458474004
75,2,4,2,3,3,0.36,16,81.7500253794,143.9089692102
75,2,4,2,3,3,0.72,16,41.5579833687,152.2468142186
75,2,4,2,3,3,0.045,19,67.2263451296,80.2968960864
75,2,4,2,3,3,0.09,19,58.812651973,40.7754010695
75,2,4,2,3,3,0.18,19,60.097365702,81.0991957105
75,2,4,2,3,3,0.36,19,55.31303495,147.0785762257
75,2,4,2,3,3,0.72,19,58.8708831586,239.115874079
75,2,4,2,3,3,0.045,22,40.1149628222,243.0044182622
75,2,4,2,3,3,0.09,22,49.9532150744,61.4035087719
75,2,4,2,3,3,0.18,22,57.6007015498,82.8877005348
75,2,4,2,3,3,0.36,22,52.3090001475,154.1554959786
75,2,4,2,3,3,0.72,22,61.1044528199,273.4006734007
75,2.5,5,2.5,3.5,3.5,0.045,10,47.7240933642,90.3083700441
75,2.5,5,2.5,3.5,3.5,0.09,10,46.6353359297,180.0804828974
75,2.5,5,2.5,3.5,3.5,0.18,10,108.0514666932,57.3162508429
75,2.5,5,2.5,3.5,3.5,0.36,10,110.5475877733,127.60241773
75,2.5,5,2.5,3.5,3.5,0.72,10,115.8938913876,266.1290322581
75,2.5,5,2.5,3.5,3.5,0.045,13,56.0321976181,67.2947510094
75,2.5,5,2.5,3.5,3.5,0.09,13,48.3011151034,194.9270326616
75,2.5,5,2.5,3.5,3.5,0.18,13,93.6266578916,69.6887686062
75,2.5,5,2.5,3.5,3.5,0.36,13,93.668348624,163.3199464525
75,2.5,5,2.5,3.5,3.5,0.72,13,84.3242968807,236.6131191432
75,2.5,5,2.5,3.5,3.5,0.045,16,48.6988563261,92.7419354839
75,2.5,5,2.5,3.5,3.5,0.09,16,58.6955168186,68.7679083095
75,2.5,5,2.5,3.5,3.5,0.18,16,95.1890576395,63.8440860215
75,2.5,5,2.5,3.5,3.5,0.36,16,93.3481496245,145.8333333333
75,2.5,5,2.5,3.5,3.5,0.72,16,93.2787936777,233.5680751174
75,2.5,5,2.5,3.5,3.5,0.045,19,40.9337377128,111.1111111111
75,2.5,5,2.5,3.5,3.5,0.09,19,72.7068357001,98.3935742972
75,2.5,5,2.5,3.5,3.5,0.18,19,82.7340052472,85.5218855219
75,2.5,5,2.5,3.5,3.5,0.36,19,79.1646304866,173.5036987223
75,2.5,5,2.5,3.5,3.5,0.72,19,100.2792858463,269.2307692308
75,2.5,5,2.5,3.5,3.5,0.045,22,44.2935474073,83.3893745797
75,2.5,5,2.5,3.5,3.5,0.09,22,73.8815653096,49.4652406417
75,2.5,5,2.5,3.5,3.5,0.18,22,70.890061253,92.8043039677
75,2.5,5,2.5,3.5,3.5,0.36,22,85.2788985007,187.5418620228
75,2.5,5,2.5,3.5,3.5,0.72,22,49.1484580107,73.6472945892
75,3,6,3,4,4,0.045,10,100.1436420789,48.3870967742
75,3,6,3,4,4,0.09,10,108.095895032,97.5935828877
75,3,6,3,4,4,0.18,10,132.3653067823,43.4201736807
75,3,6,3,4,4,0.36,10,127.1341034435,45.6682337139
75,3,6,3,4,4,0.72,10,148.2518477931,155.033557047
75,3,6,3,4,4,0.045,13,108.2202765803,45.1482479784
75,3,6,3,4,4,0.09,13,115.9369010031,101.3513513514
75,3,6,3,4,4,0.18,13,117.7539638461,50.1002004008
75,3,6,3,4,4,0.36,13,139.4008899754,75.4716981132
75,3,6,3,4,4,0.72,13,95.9433637557,164.5484949833
75,3,6,3,4,4,0.045,16,79.5423975204,61.6208975218
75,3,6,3,4,4,0.09,16,106.995797612,23.4113712375
75,3,6,3,4,4,0.18,16,106.0808273921,56.1872909699
75,3,6,3,4,4,0.36,16,105.77286916,91.030789826
75,3,6,3,4,4,0.72,16,105.3661175583,175.6393001346
75,3,6,3,4,4,0.045,19,69.4750718772,86.8102288022
75,3,6,3,4,4,0.09,19,110.3775919673,19.1126279863
75,3,6,3,4,4,0.18,19,97.9581154593,53.4402137609
75,3,6,3,4,4,0.36,19,110.5585157245,77.3889636608
75,3,6,3,4,4,0.72,19,105.5451568612,169.8113207547
75,3,6,3,4,4,0.045,22,44.7748409537,109.6166778749
75,3,6,3,4,4,0.09,22,87.7358086213,30.1406563965
75,3,6,3,4,4,0.18,22,100.1008568568,49.2245448415
75,3,6,3,4,4,0.36,22,103.433311892,95.9087860496
75,3,6,3,4,4,0.72,22,98.5032994214,182.4596774194
100,1,3,2,3.5,4,0.045,10,49.2251509889,67.5675675676
100,1,3,2,3.5,4,0.09,10,46.6544099866,129.5302013423
100,1,3,2,3.5,4,0.18,10,50.8615341796,206.1786433848
100,1,3,2,3.5,4,0.36,10,73.9725455648,107.1667782987
100,1,3,2,3.5,4,0.72,10,79.2058062931,291.9463087248
100,1,3,2,3.5,4,0.045,13,74.9288976582,261.2190221031
100,1,3,2,3.5,4,0.09,13,46.7880580447,307.0469798658
100,1,3,2,3.5,4,0.18,13,75.4982795841,433.8677354709
100,1,3,2,3.5,4,0.36,13,77.8032239621,178.1647689216
100,1,3,2,3.5,4,0.72,13,79.3837909263,338.4615384615
100,1,3,2,3.5,4,0.045,16,56.3188672503,209.1152815013
100,1,3,2,3.5,4,0.09,16,56.3376714128,100.6711409396
100,1,3,2,3.5,4,0.18,16,67.6015833154,115.4362416107
100,1,3,2,3.5,4,0.36,16,63.8114506196,211.65438714
100,1,3,2,3.5,4,0.72,16,74.624321299,373.2441471572
100,1,3,2,3.5,4,0.045,19,63.2236515095,148.185483871
100,1,3,2,3.5,4,0.09,19,59.0215994557,133.7131367292
100,1,3,2,3.5,4,0.18,19,55.6428547911,126.9308260578
100,1,3,2,3.5,4,0.36,19,63.7843874047,213.5661517797
100,1,3,2,3.5,4,0.72,19,58.0534047312,429.5302013423
100,1,3,2,3.5,4,0.045,22,64.8370989172,358.5858585859
100,1,3,2,3.5,4,0.09,22,42.9623202742,305.5167597765
100,1,3,2,3.5,4,0.18,22,57.8557934731,128.9456010745
100,1,3,2,3.5,4,0.36,22,42.4640984696,308.3109919571
100,1,3,2,3.5,4,0.72,22,48.1929340754,465.1941097724
100,1.5,4,2.5,4,2,0.045,10,86.6589773444,17.5706646295
100,1.5,4,2.5,4,2,0.09,10,62.4058626556,63.1296171927
100,1.5,4,2.5,4,2,0.18,10,68.5725843801,105.2278820375
100,1.5,4,2.5,4,2,0.36,10,69.5676495215,490.9698996656
100,1.5,4,2.5,4,2,0.72,10,100.7262529078,165.1006711409
100,1.5,4,2.5,4,2,0.045,13,69.2187501705,18.118466899
100,1.5,4,2.5,4,2,0.09,13,66.5829893779,97.7896851976
100,1.5,4,2.5,4,2,0.18,13,54.3001331724,209.364548495
100,1.5,4,2.5,4,2,0.36,13,87.2503127382,69.1739422431
100,1.5,4,2.5,4,2,0.72,13,85.6367140913,142.6657736102
100,1.5,4,2.5,4,2,0.045,16,72.0815960492,65.306122449
100,1.5,4,2.5,4,2,0.09,16,63.7174229615,72.102425876
100,1.5,4,2.5,4,2,0.18,16,51.3502616507,195.5793703952
100,1.5,4,2.5,4,2,0.36,16,77.0384875387,85.1206434316
100,1.5,4,2.5,4,2,0.72,16,76.6369456212,154.9295774648
100,1.5,4,2.5,4,2,0.045,19,63.8094499307,90.9090909091
100,1.5,4,2.5,4,2,0.09,19,52.7595736838,130.6970509383
100,1.5,4,2.5,4,2,0.18,19,58.5322286385,209.1152815013
100,1.5,4,2.5,4,2,0.36,19,68.388199184,92.4932975871
100,1.5,4,2.5,4,2,0.72,19,78.6212915779,146.3903743316
100,1.5,4,2.5,4,2,0.045,22,60.8793088696,54.8037889039
100,1.5,4,2.5,4,2,0.09,22,47.7818145914,133.59375
100,1.5,4,2.5,4,2,0.18,22,58.0461021083,58.2261340555
100,1.5,4,2.5,4,2,0.36,22,58.6869053313,94.5040214477
100,1.5,4,2.5,4,2,0.72,22,63.4444927175,155.3463349025
100,2,5,3,2,2.5,0.045,10,98.967710568,104.9465240642
100,2,5,3,2,2.5,0.09,10,111.6501301123,185.9531772575
100,2,5,3,2,2.5,0.18,10,144.8380060384,59.1795561533
100,2,5,3,2,2.5,0.36,10,132.4477748486,128.6001339585
100,2,5,3,2,2.5,0.72,10,134.310324495,238.6058981233
100,2,5,3,2,2.5,0.045,13,94.8583255023,113.2707774799
100,2,5,3,2,2.5,0.09,13,99.8547151584,235.7859531773
100,2,5,3,2,2.5,0.18,13,132.4925659193,58.3050847458
100,2,5,3,2,2.5,0.36,13,132.6807352622,148.2851378615
100,2,5,3,2,2.5,0.72,13,144.2776953509,255.6894243641
100,2,5,3,2,2.5,0.045,16,70.5329375583,149.5640509725
100,2,5,3,2,2.5,0.09,16,86.474534867,282.6961770624
100,2,5,3,2,2.5,0.18,16,138.7038008576,73.2034922767
100,2,5,3,2,2.5,0.36,16,131.8128298334,171.0261569417
100,2,5,3,2,2.5,0.72,16,122.918726589,266.5773610181
100,2,5,3,2,2.5,0.045,19,65.2629863467,105.6856187291
100,2,5,3,2,2.5,0.09,19,64.3562673887,305.8823529412
100,2,5,3,2,2.5,0.18,19,104.8935777182,73.9744451917
100,2,5,3,2,2.5,0.36,19,91.0514346655,165.7736101808
