chip_number,orifice_size,aspect_ratio,expansion_ratio,normalized_orifice_length,normalized_water_inlet,normalized_oil_inlet,flow_rate_ratio,capillary_number,regime,generation_rate,droplet_size
1,75,1,2,1,2,2,10,0.07,1,28.57,66.19
2,75,1,2,1,2,2,10,0.13,1,135.75,49.61
3,75,1,2,1,2,2,10,0.26,1,327.61,46.59
4,75,1,2,1,2,2,10,0.53,2,312.46,59.64
5,75,1,2,1,2,2,10,1.06,2,532.97,62.89
6,75,1,2,1,2,2,13,0.07,1,21.05,67.15
7,75,1,2,1,2,2,13,0.13,1,149.6,44
8,75,1,2,1,2,2,13,0.26,1,348.12,41.84
9,75,1,2,1,2,2,13,0.53,2,363.39,51.96
10,75,1,2,1,2,2,13,1.06,2,538.04,57.44
11,75,1,2,1,2,2,16,0.07,1,24.95,59.21
12,75,1,2,1,2,2,16,0.13,1,220.13,36.1
13,75,1,2,1,2,2,16,0.26,1,353.06,38.86
14,75,1,2,1,2,2,16,0.53,2,359.25,48.67
15,75,1,2,1,2,2,16,1.06,2,646.28,50.42
16,75,1,2,1,2,2,19,0.07,1,28.55,53.45
17,75,1,2,1,2,2,19,0.13,1,221.77,34.01
18,75,1,2,1,2,2,19,0.26,1,377.1,35.9
19,75,1,2,1,2,2,19,0.53,2,396.23,44.49
20,75,1,2,1,2,2,19,1.06,2,818.75,44.01
21,75,1,2,1,2,2,22,0.07,1,46.4,43.3
22,75,1,2,1,2,2,22,0.13,1,295.26,29.44
23,75,1,2,1,2,2,22,0.26,1,475.45,31.64
24,75,1,2,1,2,2,22,0.53,2,497.65,39.27
25,75,1,2,1,2,2,22,1.06,2,697.52,44.21
26,75,1.5,3,1.5,2.5,2.5,10,0.07,1,45.76,63.38
27,75,1.5,3,1.5,2.5,2.5,10,0.13,1,115.77,58.6
28,75,1.5,3,1.5,2.5,2.5,10,0.26,2,123.99,72.17
29,75,1.5,3,1.5,2.5,2.5,10,0.53,2,205.96,76.78
30,75,1.5,3,1.5,2.5,2.5,10,1.06,2,445.04,74.82
31,75,1.5,3,1.5,2.5,2.5,13,0.07,1,46.4,57.8
32,75,1.5,3,1.5,2.5,2.5,13,0.13,1,123.91,52.49
33,75,1.5,3,1.5,2.5,2.5,13,0.26,2,126.76,65.64
34,75,1.5,3,1.5,2.5,2.5,13,0.53,2,243.13,66.56
35,75,1.5,3,1.5,2.5,2.5,13,1.06,2,444.15,68.6
36,75,1.5,3,1.5,2.5,2.5,16,0.07,1,48.78,53.05
37,75,1.5,3,1.5,2.5,2.5,16,0.13,1,161.4,44.85
38,75,1.5,3,1.5,2.5,2.5,16,0.26,2,132.8,60.31
39,75,1.5,3,1.5,2.5,2.5,16,0.53,2,230.23,63.25
40,75,1.5,3,1.5,2.5,2.5,16,1.06,2,451.61,63.66
41,75,1.5,3,1.5,2.5,2.5,19,0.07,1,53.34,48.62
42,75,1.5,3,1.5,2.5,2.5,19,0.13,2,102.01,49.35
43,75,1.5,3,1.5,2.5,2.5,19,0.26,2,156.25,53.94
44,75,1.5,3,1.5,2.5,2.5,19,0.53,2,256.02,57.65
45,75,1.5,3,1.5,2.5,2.5,19,1.06,2,497.31,58.21
46,75,1.5,3,1.5,2.5,2.5,22,0.07,1,64.06,43.56
47,75,1.5,3,1.5,2.5,2.5,22,0.13,2,95.84,47.99
48,75,1.5,3,1.5,2.5,2.5,22,0.26,2,145.16,52.65
49,75,1.5,3,1.5,2.5,2.5,22,0.53,2,267.61,54.1
50,75,1.5,3,1.5,2.5,2.5,22,1.06,2,533.87,54.14
51,75,2,4,2,3,3,10,0.07,1,30.87,78.46
52,75,2,4,2,3,3,10,0.13,1,115.93,63.6
53,75,2,4,2,3,3,10,0.26,2,60.3,99.64
54,75,2,4,2,3,3,10,0.53,2,123.07,98.97
