chip_number,orifice_size,aspect_ratio,expansion_ratio,normalized_orifice_length,normalized_water_inlet,normalized_oil_inlet,flow_rate_ratio,capillary_number,regime,generation_rate,droplet_size
1,75,3,6,3,4,4,16,0.033048,1,5.0916496945,109.3504643645
2,150,2.5,3,3,3,2,22,0.033048,1,5.1549865229,134.5369212313
3,75,2,4,2,3,3,13,0.033048,1,5.340829234,102.4068002346
4,100,2.5,6,1,2.5,3,6,0.033048,1,5.5363321799,181.5702083996
5,100,1.5,4,2.5,4,2,6,0.033048,1,5.8321964529,116.4323751637
6,150,3,4,1,3.5,2.5,19,0.066096,1,5.8585858586,181.520078427
7,100,3,2,1.5,3,3.5,16,0.033048,1,5.9539918809,133.2796242349
8,75,2,4,2,3,3,6,0.033048,1,6.0191518468,127.3358313523
9,100,2.5,6,1,2.5,3,19,0.033048,1,6.1266167461,119.5393666781
10,125,2,6,1.5,3.5,2,10,0.033048,1,6.220735786,128.3427103319
11,100,2.5,6,1,2.5,3,2,0.033048,1,6.2288422478,251.78118869
12,125,1,4,3,2.5,3.5,13,0.033048,1,6.3143445436,119.7501215831
13,100,1.5,4,2.5,4,2,10,0.066096,1,6.4693737096,119.5246481732
14,75,3,6,3,4,4,19,0.033048,1,6.5843621399,94.7816710726
15,75,2,4,2,3,3,16,0.033048,1,6.6024759285,89.0370047438
16,175,3,5,2,2.5,2,22,0.066096,1,6.6073697586,195.2854176952
17,75,1.5,3,1.5,2.5,2.5,10,0.033048,1,6.6756574511,95.5604399015
18,125,2,6,1.5,3.5,2,6,0.033048,1,6.6846725186,148.5620885459
19,75,2.5,5,2.5,3.5,3.5,13,0.033048,1,6.8166325835,100.747338994
20,175,1,6,2.5,3,2.5,6,0.033048,1,6.8320870156,162.5929198432
21,75,3,6,3,4,4,13,0.033048,1,6.9815195072,105.482973065
22,75,2.5,5,2.5,3.5,3.5,10,0.033048,1,7.0422535211,108.7679087039
23,75,2.5,5,2.5,3.5,3.5,6,0.033048,1,7.0521861777,128.8980430066
24,175,2.5,4,1.5,2,4,6,0.033048,1,7.4074074074,279.1312181088
25,125,2.5,2,2,4,2.5,16,0.066096,1,7.4396782842,141.4827619695
26,100,3,2,1.5,3,3.5,6,0.033048,1,7.619047619,170.2377433785
27,125,3,3,2.5,2,3,10,0.033048,1,7.6815642458,182.385200424
28,175,3,5,2,2.5,2,6,0.066096,1,7.6817558299,286.3846013596
29,75,1.5,3,1.5,2.5,2.5,13,0.033048,1,7.6871207013,83.5360246384
30,125,2,6,1.5,3.5,2,2,0.033048,1,7.7309236948,204.1258459663
31,100,1.5,4,2.5,4,2,2,0.033048,1,7.7655310621,152.6398168487
32,150,3,4,1,3.5,2.5,2,0.066096,1,7.8009414929,349.4468513759
33,125,2.5,2,2,4,2.5,13,0.066096,1,7.821982468,149.1104835608
34,75,3,6,3,4,4,10,0.033048,1,8.1855388813,109.1769705893
35,100,1,3,2,3.5,4,6,0.033048,1,8.1855388813,113.6745763941
36,125,3,3,2.5,2,3,6,0.033048,1,8.1855388813,211.7093189742
37,125,3,3,2.5,2,3,16,0.033048,1,8.1911262799,152.6341160226
38,100,1.5,4,2.5,4,2,19,0.066096,1,8.2321187584,89.0546247045
39,175,2,3,1,4,3.5,19,0.066096,1,8.4803256445,162.4462993316
40,75,1.5,3,1.5,2.5,2.5,22,0.033048,1,8.5481682497,67.66190806
41,100,3,2,1.5,3,3.5,10,0.033048,1,8.6603518268,137.5819058932
42,75,1.5,3,1.5,2.5,2.5,19,0.033048,1,8.7695445275,70.4475577895
43,100,1.5,4,2.5,4,2,16,0.066096,1,8.7778528022,92.3085923497
44,100,1,3,2,3.5,4,13,0.033048,1,9.1412742382,84.6732357463
45,75,2,4,2,3,3,22,0.033048,1,9.1730368311,71.7575394916
46,150,3,4.0103116645,1.000008721,3.4974892602,2.4949247793,8,0.05,1,9.2281879195,189.5359921488
47,75,2,4,2,3,3,19,0.033048,1,9.3150684932,74.9663317012
48,175,3,5,2,2.5,2,13,0.066096,1,9.3827160494,207.0441371319
49,100,1.5,4,2.5,4,2,22,0.066096,1,9.4594594595,80.968337117
50,150,1,5,1.5,4,3,2,0.033048,1,9.6037609134,179.9089570594
51,100,1.5,4,2.5,4,2,13,0.066096,1,9.6401900883,95.8815921739
52,175,2.5,4,1.5,2,4,22,0.033048,1,9.7794117647,165.0070247721
53,75,3,6,3,4,4,22,0.033048,1,9.8025867937,79.0482644156
54,150,2.5,3,3,3,2,2,0.066096,1,9.8262032086,304.0392432585
55,75,1.5,3,1.5,2.5,2.5,6,0.033048,1,9.9257258609,99.2670188015
56,175,3,5,2,2.5,2,16,0.066096,1,9.9868593955,189.2215546238
57,125,2.5,2,2,4,2.5,6,0.066096,1,10.1740294511,176.7584407477
58,150,3,4.0103116645,1.000008721,3.4974892602,2.4949247793,14,0.05,1,10.4447439353,150.9217691834
59,100,1,3,2,3.5,4,10,0.033048,1,10.5405405405,88.126913285
60,75,1,2,1,2,2,13,0.033048,1,10.6852103121,66.8107736374
61,175,2.5,4,1.5,2,4,19,0.033048,1,10.6909090909,168.1995484678
62,175,1,6,2.5,3,2.5,2,0.033048,1,10.7287449393,201.7484489553
63,75,1,2,1,2,2,19,0.033048,1,10.8695652174,58.5373941046
64,75,1,2,1,2,2,10,0.033048,1,11.2092391304,71.7623411059
65,125,3,3,2.5,2,3,13,0.033048,1,11.2168592794,147.299501099
66,75,1,2,1,2,2,16,0.033048,1,11.3402061856,61.1188252945
67,75,1.5,3,1.5,2.5,2.5,16,0.033048,1,11.5151515152,68.126008078
68,150,1.5,6,2,2,3.5,10,0.132192,2,11.5646258503,236.1187970387
69,75,1,2,1,2,2,6,0.033048,1,11.7827868852,83.6801054216
70,125,3,3,2.5,2,3,19,0.033048,1,11.7891816921,127.6616333085
71,125,1,4,3,2.5,3.5,10,0.033048,1,11.8050789293,106.0905922697
72,125,2.5,2,2,4,2.5,2,0.066096,1,11.8315508021,242.4214358933
73,75,2,4,2,3,3,2,0.033048,1,11.8438761777,146.556424145
74,175,2,3,1,4,3.5,2,0.066096,1,11.8805159538,307.4752050675
75,100,3,2,1.5,3,3.5,2,0.033048,1,11.8838622552,211.7112639113
76,125,3,3,2.5,2,3,2,0.033048,1,12.0240480962,268.6040667184
77,125,1.5,5,1,3,4,22,0.033048,1,12.3655913978,89.8399884101
78,100,1,3,2,3.5,4,16,0.033048,1,12.4072825354,71.3614996879
79,75,2.5,5,2.5,3.5,3.5,2,0.033048,1,12.4161073826,153.9570254643
80,125,1,4,3,2.5,3.5,19,0.033048,1,12.5597269625,83.9051411962
81,75,3,6,3,4,4,6,0.033048,1,12.6016260163,112.103933748
82,150,3,4.0103116645,1.000008721,3.4974892602,2.4949247793,20,0.05,1,12.6860622463,125.5957337043
83,100,3,2,1.5,3,3.5,22,0.033048,1,13.3788395904,91.5080829904
84,175,3,5,2,2.5,2,10,0.066096,1,13.4020618557,200.6456304376
85,175,2.5,4,1.5,2,4,2,0.033048,1,13.4061569017,330.3463202799
86,75,1,2,1,2,2,22,0.033048,1,13.4297520661,51.9507415467
87,175,2.5094,4.0341,1.44177,2.0021,3.94057,14,0.05,2,13.4615384615,197.237870195
88,100,2.5,6,1,2.5,3,22,0.066096,1,13.5043889264,110.208015294
89,75,1.5,3,1.5,2.5,2.5,2,0.033048,1,13.6363636364,128.7854001313
90,75,3,6,3,4,4,2,0.033048,1,13.7466307278,157.0620918388
91,150,2,2,2.5,2.5,4,16,0.033048,1,13.7614678899,127.3253235441
92,100,3,2,1.5,3,3.5,19,0.033048,1,14.295347269,93.9918929701
93,150,1,5,1.5,4,3,13,0.264384,2,14.371657754,168.5607624957
94,125,2.5,2,2,4,2.5,22,0.066096,1,14.4032921811,102.086134201
95,125,2.5,2,2,4,2.5,19,0.066096,1,14.4131777625,107.1742519219
96,125,2,6,1.5,3.5,2,10,0.264384,2,14.4586415602,193.7786638195
97,75,1,2,1,2,2,2,0.033048,1,14.4727773949,112.6924144202
98,100,1.5,4,2.5,4,2,6,0.066096,1,14.5161290323,108.2457524409
99,150,3,4.0103116645,1.000008721,3.4974892602,2.4949247793,20,0.1,2,14.7276395427,150.5622570117
100,175,2,3,1,4,3.5,16,0.066096,1,14.8059904697,142.8606810844
101,150,3,4,1,3.5,2.5,10,0.066096,1,14.8950575491,164.7249592007
102,125,1.5,5,1,3,4,2,0.033048,1,14.9293880296,187.6397637922
103,150,2,2,2.5,2.5,4,19,0.033048,1,14.9381868132,116.9928194369
104,150,1,5,1.5,4,3,6,0.066096,1,14.9498327759,135.6096831429
105,175,2,3,1,4,3.5,6,0.066096,1,15.0068212824,197.2204197096
106,150,3,4.0103116645,1.000008721,3.4974892602,2.4949247793,12.9495164982,0.1279008086,2,15.044,187.581196231
107,150,3,4,1,3.5,2.5,22,0.066096,1,15.0501672241,126.2172756113
108,150,3,4.0103116645,1.000008721,3.4974892602,2.4949247793,8,0.15,2,15.0614754098,232.1748010646
109,175,2.5,4,1.5,2,4,16,0.033048,1,15.5447605829,157.2218484868
110,150,1.5,6,2,2,3.5,19,0.132192,2,15.6675749319,172.2883705861
111,125,2,6,1.5,3.5,2,19,0.066096,1,15.8001350439,95.6878926955
112,125,1.5,5,1,3,4,10,0.033048,1,15.81769437,107.6385448969
113,175,2,3,1,4,3.5,22,0.066096,1,15.8783783784,125.5130615386
114,125,2,6,1.5,3.5,2,16,0.066096,1,16.0243407708,100.8544515646
115,175,1,6,2.5,3,2.5,10,0.066096,1,16.1943319838,129.5862222112
116,125,1,4,3,2.5,3.5,6,0.033048,1,16.4158686731,112.6924443837
117,175,2.5094,4.0341,1.44177,2.0021,3.94057,20,0.05,2,16.5760869565,163.3906539525
118,125,2.5,2,2,4,2.5,10,0.066096,1,16.6551006246,126.4966881184
119,125,2,6,1.5,3.5,2,13,0.264384,2,16.8038408779,168.8746582615
120,150,3,4,1,3.5,2.5,13,0.066096,1,16.9371912491,144.6034171256
121,175,1.5,2,3,3.5,3,10,0.066096,1,16.960651289,145.4558914556
122,100,1,3,2,3.5,4,2,0.033048,1,17.004048583,128.489826375
123,150,3,4.0103116645,1.000008721,3.4974892602,2.4949247793,14,0.15,2,17.1896316508,184.3611385059
124,125,1.5,5,1,3,4,19,0.033048,1,17.3620457604,84.2488624456
125,175,2.5,4,1.5,2,4,13,0.033048,1,17.4747,162.0428518154
126,150,1,5,1.5,4,3,2,0.066096,1,17.6352705411,185.1040220894
127,125,1,4,3,2.5,3.5,16,0.033048,1,17.8740690589,78.9924106464
128,150,2.5,3,3,3,2,6,0.066096,1,17.907444668,172.5864116343
129,125,1.5,5,1,3,4,6,0.033048,1,18.1451612903,121.9115492536
130,175,1.5,2,3,3.5,3,2,0.066096,1,18.2186234818,242.8642772038
131,125,2,6,1.5,3.5,2,2,0.066096,1,18.322147651,192.897381449
132,100,1,3,2,3.5,4,19,0.033048,1,18.762746431,58.7101040102
133,100,2.5,6,1,2.5,3,16,0.066096,1,18.771331058,109.8096995885
134,100,2.5,6,1,2.5,3,6,0.066096,1,18.8298587761,152.1176530569
135,100,2,5,3,2,2.5,6,0.033048,1,18.8425302826,115.1475596635
136,150,1.5,6,2,2,3.5,13,0.132192,2,18.9701897019,183.4436777717
137,100,1.5,4,2.5,4,2,2,0.066096,1,19.0155091032,142.6808110792
138,125,1.5,5,1,3,4,16,0.033048,1,19.0604026846,86.4831553781
