chip_number,orifice_size,aspect_ratio,expansion_ratio,normalized_orifice_length,normalized_water_inlet,normalized_oil_inlet,flow_rate_ratio,capillary_number,regime,generation_rate,droplet_size
1,175,2.5094,4.0341,1.44177,2.0021,3.94057,8,0.2,2,48.2688391,246.5087078
2,175,2.5094,4.0341,1.44177,2.0021,3.94057,8,0.15,2,36.6598778,245.4772786
3,125,3,3,2.5,2,3,2,0.066096,1,31.64983165,245.1032194
4,175,2.5094,4.0341,1.44177,2.0021,3.94057,8,0.1,2,24.57337884,245.0320683
5,175,1.5,2,3,3.5,3,2,0.066096,1,18.21862348,242.8642772
6,125,2.5,2,2,4,2.5,2,0.066096,1,11.8315508,242.4214359
7,175,3,5,2,2.5,2,16,0.264384,2,19.90049751,238.6962543
8,175,2.5,4,1.5,2,4,10,0.528768,2,113.8647019,238.5930897
9,175,2.5,4,1.5,2,4,10,0.264384,2,58.62533693,236.2739181
10,150,1.5,6,2,2,3.5,10,0.132192,2,11.56462585,236.118797
11,150,3,4.010311665,1.000008721,3.49748926,2.494924779,8,0.2,2,19.98649561,232.5438986
12,175,2.5,4,1.5,2,4,10,0.132192,2,30.84304318,232.2996174
13,150,3,4.010311665,1.000008721,3.49748926,2.494924779,8,0.15,2,15.06147541,232.1748011
14,175,2.5,4,1.5,2,4,10,1.057536,2,248.3221477,231.8065726
15,150,3,4,1,3.5,2.5,10,0.528768,2,42.95822102,231.4486774
16,150,3,4,1,3.5,2.5,10,1.057536,2,89.26174497,228.5204166
17,175,3,5,2,2.5,2,19,1.057536,2,77.18814611,227.7327564
18,175,3,5,2,2.5,2,16,0.528768,2,46.875,226.0284743
19,150,2,2,2.5,2.5,4,2,0.033048,1,19.77793199,225.6521165
20,175,2.5,4,1.5,2,4,13,0.528768,2,109.4594595,221.5076256
21,175,3,5,2,2.5,2,22,1.057536,2,79.72222222,214.5488615
22,150,2,2,2.5,2.5,4,2,0.066096,1,46.15384615,214.3418971
23,175,2.5,4,1.5,2,4,13,1.057536,2,241.773002,214.295892
24,175,3,5,2,2.5,2,19,0.528768,2,46.61157025,213.8459993
25,175,2.5,4,1.5,2,4,16,0.264384,2,49.55872369,213.6473622
26,150,3,4,1,3.5,2.5,10,0.264384,2,27.81546811,212.3397703
27,175,2.5,4,1.5,2,4,16,0.528768,2,101.4103425,212.0248778
28,175,3,5,2,2.5,2,22,0.528768,2,41.37931034,211.8921812
29,100,3,2,1.5,3,3.5,2,0.033048,1,11.88386226,211.7112639
30,125,3,3,2.5,2,3,6,0.033048,1,8.185538881,211.709319
31,175,2.5,4,1.5,2,4,13,0.132192,2,31.59340659,211.1483209
32,175,2.5,4,1.5,2,4,13,0.264384,2,65.01340483,209.1520598
33,150,1.5,6,2,2,3.5,10,0.264384,2,34.3003413,207.0546281
34,175,3,5,2,2.5,2,13,0.066096,1,9.382716049,207.0441371
35,175,2,3,1,4,3.5,10,0.264384,2,31.35650988,206.5424338
36,100,2.5,6,1,2.5,3,2,0.066096,1,23.11352821,204.9023664
37,125,2,6,1.5,3.5,2,2,0.033048,1,7.730923695,204.125846
38,175,1,6,2.5,3,2.5,2,0.033048,1,10.72874494,201.748449
39,150,3,4,1,3.5,2.5,13,0.264384,2,24.98265094,201.6505961
40,175,1,5.961528047,2.495028136,3.017040258,2.485131774,10.41224378,1.057536,2,65.36787269,201.6285786
41,175,2.5094,4.0341,1.44177,2.0021,3.94057,13,0.26,2,71.44790257,200.7958429
42,175,3,5,2,2.5,2,10,0.066096,1,13.40206186,200.6456304
43,175,2.5094,4.0341,1.44177,2.0021,3.94057,12.6196,0.07752,2,22.02,200.5
44,175,1,6,2.5,3,2.5,10,1.057536,2,70.85020243,199.6516043
45,150,1.5,6,2,2,3.5,10,0.528768,2,77.96780684,198.4065392
46,175,2.5,4,1.5,2,4,16,1.057536,2,247.8231748,198.3247572
47,175,2.5094,4.0341,1.44177,2.0021,3.94057,14,0.15,2,39.87213997,198.0793062
