orifice_size_pos,orifice_size_neg,aspect_ratio_pos,aspect_ratio_neg,expansion_ratio_pos,expansion_ratio_neg,normalized_orifice_length_pos,normalized_orifice_length_neg,normalized_water_inlet_pos,normalized_water_inlet_neg,normalized_oil_inlet_pos,normalized_oil_inlet_neg,flow_rate_ratio_pos,flow_rate_ratio_neg,capillary_number_pos,capillary_number_neg
0.5574058692524543,0.6044082482257319,0.5732523565590387,0.5886243230209854,0.5870760540909189,0.5748012770492729,0.5864153314811089,0.5754585775236916,0.5768730796937609,0.5850022086720817,0.5788824834283672,0.582996620808337,0.5910468294985005,0.5707976594693659,0.6341694826508748,0.527686443715013,
0.5040726171126491,0.5512324952761312,0.5199833109507705,0.5353876677239491,0.5338372057397375,0.5215330372382739,0.5331878271988197,0.5221794579441292,0.5236032271392357,0.5317658407040007,0.5256236265996571,0.5297486003081334,0.5378065672466695,0.5175312148315665,0.5809392266570158,0.4744088240774944,
0.45071253612066986,0.498035775620173,0.4666894758417197,0.4821273457647699,0.48057497573716357,0.4682411225368134,0.47993708373390676,0.46887568139125435,0.4703084508409734,0.47850693585042603,0.4723411083938067,0.47647741261205656,0.48454360731198864,0.4642397175934103,0.527686443715013,0.42110657221975833,
0.3973240323841478,0.44481748406421984,0.4133691266749694,0.42884176148179887,0.42728860667175794,0.41492302285124283,0.42666201778818513,0.41554554901095553,0.41698741278342,0.4252225201409986,0.41903229189095803,0.42318075379185793,0.43125527483557613,0.4109231049320088,0.4744088240774944,0.36777735770647946,
0.3439060230480184,0.3915755060944518,0.36002193557513507,0.3755312339709078,0.3739760677949504,0.3615774314580972,0.3733614768782314,0.3621878937035987,0.36363902423871997,0.3719125634636318,0.36569734274545196,0.36985850950273336,0.3779413497042474,0.35757901143101345,0.42110657221975833,0.3248576636099031,
0.33546487125352453,0.3383083883876773,0.32414370265049886,0.32556953851962667,0.3244826026025569,0.3252303367503496,0.32003381740614856,0.3307704441760253,0.3285526481894743,0.32115828506988264,0.3251442931522628,0.32457034025799114,0.32967483068651326,0.32000483367596255,0.36777735770647946,0.34519691260866636,
0.3305800022966733,0.3281259441737251,0.3192838081905385,0.32072402934370636,0.3196340516680648,0.32037394663925134,0.3140920096462405,0.32591160179709455,0.32369859939147916,0.31630760207304554,0.3202886985282172,0.31972129769603086,0.3248576636099031,0.315116852907134,0.35757901143101345,0.34032790726015016,
0.32469085233208683,0.33372224651143967,0.31337604698112975,0.3176003352369786,0.316040981762026,0.3144648688068368,0.31543909667890835,0.32000483367596255,0.31778907903983244,0.313978850112298,0.3143776371135816,0.3138063358014276,0.32003381740614856,0.3092104094885506,0.36316915329465127,0.33444617200515225,
0.3197766009694636,0.32351050867931486,0.308487131960996,0.3099317855186936,0.3088393220906709,0.30957923807739496,0.30520215692076236,0.315116852907134,0.31290534557866045,0.3055117382049204,0.3094924458069117,0.3089281662131945,0.3140920096462405,0.304292515202804,0.3529408642109596,0.3295480416975288,
0.31482561597574765,0.3132634453495592,0.30356191342783134,0.30502095762731307,0.3039248824365266,0.3046577383788224,0.2983860771632926,0.31019257630848385,0.30798549155207755,0.30059565026549895,0.30457127990676625,0.30401362107243146,0.3092104094885506,0.29933770495826073,0.3426767327623842,0.3246136418897434,
